Rounded input length	Sample name1	Sample name2	Sample name3	Sample name4	Sample name5	Sample name6	Sample name7	Sample name8	Sample name9	Sample name10	Sample name11
109	E07_E07										
145	E09_E09										
176	E09_E09										
177	E09_E09										
246	D05_D05	 D09_D09	 E09_E09								
247	D05_D05	 D08_D08	 D09_D09	 E09_E09							
248	D05_D05	 D08_D08	 D09_D09	 E09_E09							
249	D08_D08	 D09_D09	 E09_E09								
250	E09_E09										
251	E09_E09										
252	E09_E09										
253	E09_E09										
255	E09_E09										
256	D10_D10	 E02_E02	 E03_E03	 E05_E05							
257	D10_D10	 E01_E01	 E02_E02	 E03_E03	 E05_E05						
258	D01_D01	 D10_D10	 E01_E01	 E02_E02	 E03_E03	 E05_E05	 E09_E09				
259	D01_D01	 D05_D05	 D08_D08	 E01_E01	 E02_E02	 E03_E03	 E05_E05	 E09_E09			
260	D01_D01	 D05_D05	 E01_E01	 E02_E02	 E03_E03						
262	D01_D01	 E01_E01	 E03_E03	 E09_E09							
263	D08_D08										
264	E03_E03										
265	E03_E03										
266	E02_E02										
267	D01_D01	 D08_D08	 E01_E01								
268	E03_E03										
270	D01_D01	 E01_E01	 E02_E02	 E03_E03							
271	E03_E03										
272	D05_D05										
275	D01_D01	 D08_D08	 E01_E01	 E03_E03	 E09_E09						
276	E02_E02	 E03_E03	 E06_E06								
277	D05_D05	 E06_E06	 E09_E09								
278	E06_E06										
279	D01_D01	 E01_E01	 E02_E02	 E05_E05							
280	D08_D08	 E09_E09									
282	D08_D08	 E09_E09	 E10_E10								
283	D01_D01	 E01_E01	 E02_E02	 E03_E03							
284	E10_E10										
286	D01_D01	 E01_E01	 E02_E02	 E03_E03	 E09_E09						
294	E10_E10										
296	E10_E10										
297	E02_E02	 E03_E03									
298	E10_E10										
299	E02_E02										
300	E03_E03										
301	D01_D01	 D02_D02	 D05_D05	 D09_D09	 E01_E01	 E02_E02	 E03_E03	 E09_E09			
302	D01_D01	 D08_D08	 E01_E01	 E02_E02							
303	D05_D05	 D09_D09	 E03_E03	 E09_E09							
304	D08_D08	 D09_D09	 E01_E01	 E02_E02	 E03_E03	 E09_E09					
305	D01_D01	 E01_E01	 E02_E02	 E03_E03							
307	E10_E10										
308	E10_E10										
310	D02_D02	 D05_D05	 D09_D09	 E09_E09	 E10_E10						
311	D02_D02	 D05_D05	 D08_D08	 D09_D09	 E09_E09						
312	E10_E10										
313	E10_E10										
314	E02_E02										
315	D10_D10	 E02_E02	 E03_E03	 E06_E06	 E10_E10						
316	D10_D10	 E03_E03									
317	D02_D02	 D05_D05	 D08_D08	 D09_D09	 E08_E08	 E09_E09	 E10_E10				
318	D02_D02	 D05_D05	 D08_D08	 D09_D09	 D10_D10	 D11_D11	 E02_E02	 E03_E03	 E05_E05	 E08_E08	 E09_E09
319	D02_D02	 D05_D05	 D08_D08	 D09_D09	 D10_D10	 D11_D11	 E03_E03	 E05_E05	 E08_E08	 E09_E09	
320	D05_D05	 D08_D08									
321	E10_E10										
322	D02_D02	 D05_D05	 D08_D08								
323	D09_D09	 E06_E06	 E09_E09	 E10_E10							
324	D02_D02	 E08_E08									
325	E06_E06	 E10_E10									
327	D11_D11	 E01_E01	 E10_E10								
328	D02_D02	 D08_D08									
329	D05_D05	 D09_D09	 D10_D10	 D11_D11	 E01_E01	 E02_E02	 E03_E03	 E05_E05	 E08_E08	 E09_E09	
330	E10_E10										
331	D01_D01	 D10_D10	 D11_D11	 E01_E01	 E02_E02	 E03_E03	 E05_E05	 E10_E10			
332	E01_E01	 E03_E03	 E10_E10								
333	D08_D08										
334	D01_D01	 D10_D10	 D11_D11	 E01_E01	 E02_E02	 E03_E03	 E05_E05				
335	D02_D02	 E01_E01	 E06_E06								
336	D01_D01	 D05_D05	 D11_D11	 E02_E02	 E05_E05	 E06_E06	 E08_E08	 E09_E09			
337	D10_D10	 D11_D11									
338	D01_D01	 D10_D10	 D11_D11	 E01_E01	 E02_E02	 E03_E03	 E05_E05	 E06_E06	 E10_E10		
339	E05_E05	 E06_E06									
340	D05_D05	 E09_E09	 E10_E10								
341	D02_D02	 D05_D05	 D08_D08	 D09_D09	 E08_E08	 E09_E09					
342	E02_E02	 E05_E05	 E10_E10								
343	D01_D01	 D02_D02	 D05_D05	 D08_D08	 D09_D09	 D11_D11	 E01_E01	 E08_E08	 E09_E09		
344	D03_D03	 D10_D10	 E03_E03	 E10_E10							
345	D02_D02	 D03_D03	 D04_D04	 D05_D05	 D08_D08	 D09_D09	 E05_E05	 E08_E08	 E09_E09		
346	D02_D02	 D08_D08									
347	D02_D02	 D05_D05	 D09_D09	 E01_E01	 E08_E08	 E09_E09					
348	D01_D01	 D02_D02	 D08_D08	 E02_E02							
349	D06_D06	 D10_D10	 D11_D11	 D12_D12	 E03_E03	 E05_E05					
351	D02_D02	 D05_D05	 D06_D06	 D08_D08	 D12_D12	 E06_E06	 E10_E10				
352	D02_D02	 D05_D05	 D08_D08	 D09_D09	 E08_E08	 E09_E09					
353	D08_D08	 E06_E06									
354	D06_D06	 D12_D12	 E06_E06								
355	D09_D09	 E02_E02	 E09_E09								
356	D08_D08	 E03_E03	 E06_E06								
358	D02_D02	 D06_D06	 D08_D08	 D09_D09	 D10_D10	 E06_E06	 E08_E08	 E09_E09			
360	D02_D02	 D05_D05	 D08_D08	 D09_D09	 D10_D10	 E06_E06	 E08_E08	 E09_E09			
361	D01_D01	 D02_D02	 D08_D08	 D10_D10	 D11_D11	 E01_E01	 E02_E02	 E03_E03	 E05_E05	 E06_E06	
362	D09_D09	 E06_E06	 E08_E08	 E09_E09							
363	D01_D01	 D02_D02	 D05_D05	 D06_D06	 D10_D10	 D11_D11	 E01_E01	 E02_E02	 E03_E03	 E05_E05	 E08_E08
364	D02_D02	 D05_D05	 D06_D06	 D08_D08	 E05_E05	 E06_E06	 E08_E08				
365	D01_D01	 D10_D10	 D11_D11	 E01_E01	 E02_E02	 E03_E03	 E05_E05				
366	D02_D02	 E01_E01	 E05_E05								
367	D01_D01	 D02_D02	 D08_D08	 D10_D10	 D11_D11	 E01_E01	 E02_E02	 E03_E03	 E05_E05	 E08_E08	 E10_E10
368	D12_D12	 E06_E06									
369	D05_D05	 D06_D06	 E03_E03	 E08_E08	 E10_E10						
370	E02_E02										
371	D02_D02	 D05_D05	 D09_D09	 D10_D10	 E03_E03	 E08_E08	 E09_E09	 E10_E10			
372	D08_D08	 D10_D10	 D11_D11	 E01_E01	 E02_E02	 E03_E03	 E05_E05				
373	E06_E06	 E10_E10									
374	D08_D08	 E08_E08	 E10_E10								
375	D10_D10	 E02_E02									
376	E08_E08										
378	D10_D10	 D11_D11	 E02_E02	 E03_E03	 E05_E05	 E08_E08					
379	E08_E08										
380	D10_D10	 D11_D11	 E02_E02	 E03_E03	 E05_E05	 E08_E08					
381	D06_D06	 D12_D12									
382	D10_D10	 D11_D11	 E02_E02	 E03_E03	 E05_E05						
383	D06_D06	 D12_D12	 E05_E05	 E06_E06	 E10_E10						
384	D10_D10	 E02_E02	 E03_E03								
385	D03_D03	 D05_D05	 D06_D06	 D07_D07	 D09_D09	 D12_D12	 E06_E06				
386	E06_E06										
387	D03_D03	 D06_D06	 D10_D10	 D12_D12	 E03_E03	 E09_E09					
388	D02_D02	 D03_D03	 D04_D04	 D05_D05	 D08_D08	 D09_D09	 E03_E03	 E06_E06	 E08_E08		
389	D02_D02	 D04_D04	 D05_D05	 D08_D08	 D09_D09	 E08_E08	 E09_E09				
390	D08_D08	 E06_E06									
391	D02_D02	 D05_D05	 D06_D06	 D09_D09	 D10_D10	 E02_E02	 E03_E03	 E09_E09			
392	D06_D06	 E06_E06									
393	D02_D02	 D05_D05	 D08_D08	 D09_D09	 E06_E06	 E08_E08	 E09_E09				
394	 396	D02_D02	 D05_D05	 D08_D08	 D09_D09	 E03_E03	 E08_E08	 E09_E09			
395	 396	E03_E03									
396	 396	D08_D08	 E08_E08								
397	 396	E03_E03									
398	D06_D06										
399	E03_E03										
400	D06_D06	 E03_E03	 E06_E06								
401	D06_D06	 E03_E03	 E06_E06								
402	D02_D02	 D05_D05	 D06_D06	 D09_D09	 E08_E08	 E09_E09					
403	D06_D06	 D08_D08	 D10_D10	 E02_E02	 E03_E03	 E06_E06					
404	D01_D01	 E06_E06									
405	D01_D01	 D10_D10	 D11_D11	 E01_E01	 E02_E02	 E03_E03	 E05_E05	 E06_E06			
406	D01_D01	 D10_D10	 D11_D11	 E01_E01	 E02_E02	 E03_E03	 E05_E05	 E06_E06			
407	E03_E03										
408	D06_D06	 D10_D10	 D11_D11	 E02_E02	 E03_E03	 E06_E06					
409	D10_D10	 D11_D11	 E02_E02	 E03_E03	 E05_E05						
410	D05_D05	 D10_D10	 D11_D11	 E02_E02	 E03_E03	 E05_E05	 E10_E10				
411	E06_E06										
412	E06_E06										
413	E06_E06										
415	D10_D10	 D11_D11	 E02_E02	 E03_E03	 E05_E05	 E10_E10					
416	D06_D06	 D07_D07	 D12_D12	 E06_E06							
417	 418	D06_D06	 D07_D07	 D12_D12	 E03_E03	 E06_E06					
418	 418	D02_D02	 D06_D06	 E03_E03	 E06_E06	 E09_E09					
419	419	 418	D05_D05	 D08_D08	 D09_D09	 E05_E05	 E06_E06	 E08_E08	 E09_E09		
420	419	418	 422	E09_E09							
423	424	423	 422	D06_D06							
424	424	423	 422	E06_E06							
425	426	424	 423	E09_E09							
429	428	429	 430	E06_E06							
432	E06_E06										
434	E03_E03										
435	D10_D10	 E02_E02	 E03_E03	 E05_E05							
436	D11_D11										
437	E05_E05	 E06_E06									
442	 442	E06_E06									
447	E08_E08										
448	 449	E08_E08									
455	453	 454	D06_D06	 E06_E06							
457	459	 458	E06_E06								
462	 463	E08_E08									
465	467	466	463	 465	E08_E08						
469	E06_E06										
470	E08_E08										
472	E10_E10										
478	477	 480	E01_E01	 E08_E08	 E12_E12						
479	481	477	 480	E11_E11	 E12_E12						
484	 485	E12_E12									
486	486	 485	E10_E10	 E11_E11	 E12_E12						
488	486	 490	E03_E03								
489	 490	E10_E10									
493	E10_E10										
495	E10_E10										
498	 500	E12_E12									
499	498	 500	D05_D05	 E08_E08							
500	498	502	 500	D03_D03	 D04_D04	 D09_D09	 E09_E09	 E11_E11	 E12_E12		
504	502	505	 504	D04_D04	 D05_D05	 D08_D08	 D09_D09	 E08_E08			
506	507	505	 504	D02_D02	 D03_D03	 D04_D04	 D05_D05	 D08_D08	 D09_D09	 E08_E08	 E09_E09
507	509	507	 505	D03_D03	 D04_D04	 D08_D08	 D09_D09	 E08_E08	 E09_E09		
508	506	509	 507	D05_D05							
509	509	507	 511	E10_E10							
510	510	509	 511	D09_D09	 E08_E08	 E10_E10					
511	510	509	511	 513	E11_E11						
512	514	510	511	 513	D02_D02						
513	514	511	 513	D01_D01	 E03_E03	 E08_E08					
514	512	514	 513	D02_D02	 D04_D04	 E02_E02	 E04_E04	 E08_E08	 E10_E10		
516	514	 517	D10_D10	 D11_D11	 E02_E02	 E03_E03					
517	 517	D10_D10	 D11_D11	 E02_E02	 E03_E03	 E05_E05	 E12_E12				
518	 517	D02_D02	 D09_D09	 D10_D10	 E08_E08	 E09_E09					
519	 517	D02_D02	 D05_D05	 D08_D08	 E04_E04	 E09_E09					
520	 522	D02_D02	 D03_D03	 D08_D08	 D09_D09	 D12_D12	 E06_E06	 E09_E09			
521	523	 522	D04_D04								
522	523	 522	D03_D03	 D05_D05	 D08_D08	 E08_E08	 E10_E10				
524	522	 525	D08_D08								
525	523	 525	D06_D06	 E11_E11							
526	528	 525	D07_D07	 D12_D12	 E06_E06	 E12_E12					
528	530	528	 529	D06_D06	 E06_E06						
529	530	528	529	 531	D07_D07	 D12_D12	 E03_E03	 E07_E07			
530	528	532	529	 531	D01_D01	 D06_D06	 D11_D11	 E01_E01	 E02_E02	 E06_E06	
531	532	529	 531	D10_D10	 E02_E02	 E11_E11					
532	532	534	 531	D10_D10	 E02_E02						
533	532	534	 531	D10_D10	 D11_D11						
534	532	 534	D10_D10	 E02_E02	 E03_E03						
536	538	 534	E05_E05								
537	538	 539	D03_D03	 E02_E02							
538	 539	D08_D08	 E03_E03								
539	539	 541	E10_E10								
540	542	539	 541	D12_D12	 E02_E02	 E07_E07	 E08_E08	 E09_E09	 E11_E11		
541	539	 541	D03_D03	 D10_D10	 E05_E05	 E10_E10					
542	544	 541	E11_E11								
543	542	544	 541	D03_D03	 D05_D05						
544	542	544	 546	D11_D11							
545	547	544	 546	D03_D03	 D09_D09						
546	545	547	544	 546	E04_E04						
547	545	547	 546	D12_D12							
550	E10_E10										
551	E04_E04	 E08_E08	 E11_E11								
553	554	 555	E04_E04								
554	556	554	 555	D03_D03							
555	556	554	555	 557	E04_E04						
557	556	555	 557	D06_D06	 D08_D08	 E06_E06					
558	560	556	 557	D02_D02	 D05_D05	 D09_D09	 E09_E09				
560	562	560	 561	E08_E08	 E10_E10						
561	562	563	560	 561	D03_D03	 D05_D05	 D06_D06	 D08_D08	 D09_D09	 E08_E08	
562	562	563	560	 561	E09_E09						
564	562	563	566	 565	E04_E04						
