Rounded input length,Matching database length,Sample name;;;;;;;;;;
109,no hit,E07_E07;;;;;;;;;;
145,no hit,E09_E09;;;;;;;;;;
176,no hit,E09_E09;;;;;;;;;;
177,no hit,E09_E09;;;;;;;;;;
246,no hit,D05_D05; D09_D09; E09_E09;;;;;;;;
247,no hit,D05_D05; D08_D08; D09_D09; E09_E09;;;;;;;
248,no hit,D05_D05; D08_D08; D09_D09; E09_E09;;;;;;;
249,no hit,D08_D08; D09_D09; E09_E09;;;;;;;;
250,no hit,E09_E09;;;;;;;;;;
251,no hit,E09_E09;;;;;;;;;;
252,no hit,E09_E09;;;;;;;;;;
253,no hit,E09_E09;;;;;;;;;;
255,no hit,E09_E09;;;;;;;;;;
256,no hit,D10_D10; E02_E02; E03_E03; E05_E05;;;;;;;
257,no hit,D10_D10; E01_E01; E02_E02; E03_E03; E05_E05;;;;;;
258,no hit,D01_D01; D10_D10; E01_E01; E02_E02; E03_E03; E05_E05; E09_E09;;;;
259,no hit,D01_D01; D05_D05; D08_D08; E01_E01; E02_E02; E03_E03; E05_E05; E09_E09;;;
260,no hit,D01_D01; D05_D05; E01_E01; E02_E02; E03_E03;;;;;;
262,no hit,D01_D01; E01_E01; E03_E03; E09_E09;;;;;;;
263,no hit,D08_D08;;;;;;;;;;
264,no hit,E03_E03;;;;;;;;;;
265,no hit,E03_E03;;;;;;;;;;
266,no hit,E02_E02;;;;;;;;;;
267,no hit,D01_D01; D08_D08; E01_E01;;;;;;;;
268,no hit,E03_E03;;;;;;;;;;
270,no hit,D01_D01; E01_E01; E02_E02; E03_E03;;;;;;;
271,no hit,E03_E03;;;;;;;;;;
272,no hit,D05_D05;;;;;;;;;;
275,no hit,D01_D01; D08_D08; E01_E01; E03_E03; E09_E09;;;;;;
276,no hit,E02_E02; E03_E03; E06_E06;;;;;;;;
277,no hit,D05_D05; E06_E06; E09_E09;;;;;;;;
278,no hit,E06_E06;;;;;;;;;;
279,no hit,D01_D01; E01_E01; E02_E02; E05_E05;;;;;;;
280,no hit,D08_D08; E09_E09;;;;;;;;;
282,no hit,D08_D08; E09_E09; E10_E10;;;;;;;;
283,no hit,D01_D01; E01_E01; E02_E02; E03_E03;;;;;;;
284,no hit,E10_E10;;;;;;;;;;
286,no hit,D01_D01; E01_E01; E02_E02; E03_E03; E09_E09;;;;;;
294,no hit,E10_E10;;;;;;;;;;
296,no hit,E10_E10;;;;;;;;;;
297,no hit,E02_E02; E03_E03;;;;;;;;;
298,no hit,E10_E10;;;;;;;;;;
299,no hit,E02_E02;;;;;;;;;;
300,no hit,E03_E03;;;;;;;;;;
301,no hit,D01_D01; D02_D02; D05_D05; D09_D09; E01_E01; E02_E02; E03_E03; E09_E09;;;
302,no hit,D01_D01; D08_D08; E01_E01; E02_E02;;;;;;;
303,no hit,D05_D05; D09_D09; E03_E03; E09_E09;;;;;;;
304,no hit,D08_D08; D09_D09; E01_E01; E02_E02; E03_E03; E09_E09;;;;;
305,no hit,D01_D01; E01_E01; E02_E02; E03_E03;;;;;;;
307,no hit,E10_E10;;;;;;;;;;
308,no hit,E10_E10;;;;;;;;;;
310,no hit,D02_D02; D05_D05; D09_D09; E09_E09; E10_E10;;;;;;
311,no hit,D02_D02; D05_D05; D08_D08; D09_D09; E09_E09;;;;;;
312,no hit,E10_E10;;;;;;;;;;
313,no hit,E10_E10;;;;;;;;;;
314,no hit,E02_E02;;;;;;;;;;
315,no hit,D10_D10; E02_E02; E03_E03; E06_E06; E10_E10;;;;;;
316,no hit,D10_D10; E03_E03;;;;;;;;;
317,no hit,D02_D02; D05_D05; D08_D08; D09_D09; E08_E08; E09_E09; E10_E10;;;;
318,no hit,D02_D02; D05_D05; D08_D08; D09_D09; D10_D10; D11_D11; E02_E02; E03_E03; E05_E05; E08_E08; E09_E09
319,no hit,D02_D02; D05_D05; D08_D08; D09_D09; D10_D10; D11_D11; E03_E03; E05_E05; E08_E08; E09_E09;
320,no hit,D05_D05; D08_D08;;;;;;;;;
321,no hit,E10_E10;;;;;;;;;;
322,no hit,D02_D02; D05_D05; D08_D08;;;;;;;;
323,no hit,D09_D09; E06_E06; E09_E09; E10_E10;;;;;;;
324,no hit,D02_D02; E08_E08;;;;;;;;;
325,no hit,E06_E06; E10_E10;;;;;;;;;
327,no hit,D11_D11; E01_E01; E10_E10;;;;;;;;
328,no hit,D02_D02; D08_D08;;;;;;;;;
329,no hit,D05_D05; D09_D09; D10_D10; D11_D11; E01_E01; E02_E02; E03_E03; E05_E05; E08_E08; E09_E09;
330,no hit,E10_E10;;;;;;;;;;
331,no hit,D01_D01; D10_D10; D11_D11; E01_E01; E02_E02; E03_E03; E05_E05; E10_E10;;;
332,no hit,E01_E01; E03_E03; E10_E10;;;;;;;;
333,no hit,D08_D08;;;;;;;;;;
334,no hit,D01_D01; D10_D10; D11_D11; E01_E01; E02_E02; E03_E03; E05_E05;;;;
335,no hit,D02_D02; E01_E01; E06_E06;;;;;;;;
336,no hit,D01_D01; D05_D05; D11_D11; E02_E02; E05_E05; E06_E06; E08_E08; E09_E09;;;
337,no hit,D10_D10; D11_D11;;;;;;;;;
338,no hit,D01_D01; D10_D10; D11_D11; E01_E01; E02_E02; E03_E03; E05_E05; E06_E06; E10_E10;;
339,no hit,E05_E05; E06_E06;;;;;;;;;
340,no hit,D05_D05; E09_E09; E10_E10;;;;;;;;
341,no hit,D02_D02; D05_D05; D08_D08; D09_D09; E08_E08; E09_E09;;;;;
342,no hit,E02_E02; E05_E05; E10_E10;;;;;;;;
343,no hit,D01_D01; D02_D02; D05_D05; D08_D08; D09_D09; D11_D11; E01_E01; E08_E08; E09_E09;;
344,no hit,D03_D03; D10_D10; E03_E03; E10_E10;;;;;;;
345,no hit,D02_D02; D03_D03; D04_D04; D05_D05; D08_D08; D09_D09; E05_E05; E08_E08; E09_E09;;
346,no hit,D02_D02; D08_D08;;;;;;;;;
347,no hit,D02_D02; D05_D05; D09_D09; E01_E01; E08_E08; E09_E09;;;;;
348,no hit,D01_D01; D02_D02; D08_D08; E02_E02;;;;;;;
349,no hit,D06_D06; D10_D10; D11_D11; D12_D12; E03_E03; E05_E05;;;;;
351,no hit,D02_D02; D05_D05; D06_D06; D08_D08; D12_D12; E06_E06; E10_E10;;;;
352,no hit,D02_D02; D05_D05; D08_D08; D09_D09; E08_E08; E09_E09;;;;;
353,no hit,D08_D08; E06_E06;;;;;;;;;
354,no hit,D06_D06; D12_D12; E06_E06;;;;;;;;
355,no hit,D09_D09; E02_E02; E09_E09;;;;;;;;
356,no hit,D08_D08; E03_E03; E06_E06;;;;;;;;
358,no hit,D02_D02; D06_D06; D08_D08; D09_D09; D10_D10; E06_E06; E08_E08; E09_E09;;;
360,362,D02_D02; D05_D05; D08_D08; D09_D09; D10_D10; E06_E06; E08_E08; E09_E09;;;
361,362,D01_D01; D02_D02; D08_D08; D10_D10; D11_D11; E01_E01; E02_E02; E03_E03; E05_E05; E06_E06;
362,362,D09_D09; E06_E06; E08_E08; E09_E09;;;;;;;
363,362,D01_D01; D02_D02; D05_D05; D06_D06; D10_D10; D11_D11; E01_E01; E02_E02; E03_E03; E05_E05; E08_E08
364,362,D02_D02; D05_D05; D06_D06; D08_D08; E05_E05; E06_E06; E08_E08;;;;
365,no hit,D01_D01; D10_D10; D11_D11; E01_E01; E02_E02; E03_E03; E05_E05;;;;
366,368,D02_D02; E01_E01; E05_E05;;;;;;;;
367,368,D01_D01; D02_D02; D08_D08; D10_D10; D11_D11; E01_E01; E02_E02; E03_E03; E05_E05; E08_E08; E10_E10
368,368,D12_D12; E06_E06;;;;;;;;;
369,368,D05_D05; D06_D06; E03_E03; E08_E08; E10_E10;;;;;;
370,368,E02_E02;;;;;;;;;;
371,no hit,D02_D02; D05_D05; D09_D09; D10_D10; E03_E03; E08_E08; E09_E09; E10_E10;;;
372,no hit,D08_D08; D10_D10; D11_D11; E01_E01; E02_E02; E03_E03; E05_E05;;;;
373,no hit,E06_E06; E10_E10;;;;;;;;;
374,no hit,D08_D08; E08_E08; E10_E10;;;;;;;;
375,no hit,D10_D10; E02_E02;;;;;;;;;
376,no hit,E08_E08;;;;;;;;;;
378,no hit,D10_D10; D11_D11; E02_E02; E03_E03; E05_E05; E08_E08;;;;;
379,no hit,E08_E08;;;;;;;;;;
380,no hit,D10_D10; D11_D11; E02_E02; E03_E03; E05_E05; E08_E08;;;;;
381,383,D06_D06; D12_D12;;;;;;;;;
382,383,D10_D10; D11_D11; E02_E02; E03_E03; E05_E05;;;;;;
383,383,D06_D06; D12_D12; E05_E05; E06_E06; E10_E10;;;;;;
384,383,D10_D10; E02_E02; E03_E03;;;;;;;;
385,383,D03_D03; D05_D05; D06_D06; D07_D07; D09_D09; D12_D12; E06_E06;;;;
386,no hit,E06_E06;;;;;;;;;;
387,no hit,D03_D03; D06_D06; D10_D10; D12_D12; E03_E03; E09_E09;;;;;
388,no hit,D02_D02; D03_D03; D04_D04; D05_D05; D08_D08; D09_D09; E03_E03; E06_E06; E08_E08;;
389,no hit,D02_D02; D04_D04; D05_D05; D08_D08; D09_D09; E08_E08; E09_E09;;;;
390,no hit,D08_D08; E06_E06;;;;;;;;;
391,no hit,D02_D02; D05_D05; D06_D06; D09_D09; D10_D10; E02_E02; E03_E03; E09_E09;;;
392,no hit,D06_D06; E06_E06;;;;;;;;;
393,395,D02_D02; D05_D05; D08_D08; D09_D09; E06_E06; E08_E08; E09_E09;;;;
394,395; 396,D02_D02; D05_D05; D08_D08; D09_D09; E03_E03; E08_E08; E09_E09;;;
395,395; 396,E03_E03;;;;;;;;;
396,395; 396,D08_D08; E08_E08;;;;;;;;
397,395; 396,E03_E03;;;;;;;;;
398,396,D06_D06;;;;;;;;;;
399,no hit,E03_E03;;;;;;;;;;
400,402,D06_D06; E03_E03; E06_E06;;;;;;;;
401,402,D06_D06; E03_E03; E06_E06;;;;;;;;
402,402,D02_D02; D05_D05; D06_D06; D09_D09; E08_E08; E09_E09;;;;;
